ID,FULL_NAME,FIRST_NAME,LAST_NAME,CALLING_NBR,FULL_NAME_CALLED,CALLED_NBR,START_DATE,DURATION,END_DATE,CELL_TOWER,CITY,STATE,ADDRESS
1,Krissie Czajka,Krissie,Czajka,62(848)487-2627,Mohammed Tomasoni,63(313)765-2065,1518105705,359,1518106064,142,Albany,NY,87 Thierer Pass
2,Sid Brobyn,Sid,Brobyn,351(220)350-2962,Alanna Kingsford,86(533)856-1047,1518584344,121,1518584465,61,Brooklyn,NY,731 Ridgeview Terrace
3,Richardo Perryman,Richardo,Perryman,975(151)766-0421,Moria Storrah,7(569)764-6711,1516324390,62,1516324452,117,Jamaica,NY,03 Oriole Place
4,Denys Manchester,Denys,Manchester,51(658)363-3256,Heindrick Blindt,66(133)750-9805,1517795745,100,1517795845,118,New York City,NY,75 East Drive
5,Dore Stockhill,Dore,Stockhill,63(251)942-0977,Roze Botha,63(111)474-4573,1539809424,116,1539809540,14,Syracuse,NY,53 Talisman Terrace
6,Enos Taillant,Enos,Taillant,58(946)507-9577,Gilli Nutbeam,86(419)749-1439,1536207081,335,1536207416,18,Albany,NY,55803 Stuart Place
7,Arielle Graddell,Arielle,Graddell,43(486)505-6877,Jermaine Colmer,62(101)242-8184,1527727282,293,1527727575,8,Bronx,NY,3 North Drive
8,Iorgo Vedstra,Iorgo,Vedstra,48(769)213-4853,Trueman Johnes,46(455)874-9777,1544261037,73,1544261110,34,New York City,NY,64 Fisk Alley
9,Neilla Batha,Neilla,Batha,33(310)480-7186,Olimpia Damant,86(420)718-5477,1517819969,328,1517820297,87,Albany,NY,05 Delaware Way
10,Belicia Pyrton,Belicia,Pyrton,63(891)560-6466,Budd Mayler,1(608)903-7954,1524058188,5,1524058193,132,Jamaica,NY,913 7th Circle
11,Glendon Poulton,Glendon,Poulton,351(298)145-2694,Sharai Touzey,86(349)336-2834,1529394607,174,1529394781,12,Rochester,NY,695 Mitchell Court
12,Bill Ovendon,Bill,Ovendon,234(163)480-5318,Winonah Dikelin,389(692)947-6691,1546078498,308,1546078806,38,Jamaica,NY,1 Dapin Point
13,Bill Ovendon,Bill,Ovendon,234(163)480-5318,Emogene Gambles,86(196)548-1848,1515343287,399,1515343686,36,Brooklyn,NY,75 Swallow Plaza
