ID,FULL_NAME,FIRST_NAME,LAST_NAME,CALLING_NBR,FULL_NAME_CALLED,CALLED_NBR,START_DATE,DURATION,END_DATE,CELL_TOWER,CITY,STATE,ADDRESS
1,Franciskus Blewitt,Franciskus,Blewitt,1(864)451-7481,Cammy Dun,86(484)206-5229,1594712727,133,1594712860,115,Albany,NY,6265 Mandrake Street
2,Bernadette Songist,Bernadette,Songist,86(774)425-5006,Jessalin Jeremaes,57(420)944-2122,1584602033,29,1584602062,46,Brooklyn,NY,5 Farragut Pass
3,Bili Komorowski,Bili,Komorowski,216(466)824-2477,Lenore Keegan,46(892)854-8915,1584393159,85,1584393244,26,Jamaica,NY,53 Di Loreto Parkway
4,Roma Taborre,Roma,Taborre,33(285)385-3478,Monika Tayler,972(809)843-8268,1577973645,202,1577973847,115,New York City,NY,440 Northfield Junction
5,Dino Ellul,Dino,Ellul,245(122)434-4465,Odille Schruyer,62(546)384-4437,1590468616,134,1590468750,74,Syracuse,NY,74 Twin Pines Pass
6,Skylar Ashlin,Skylar,Ashlin,98(775)873-6474,Wendall Russilll,46(360)453-1700,1580141519,28,1580141547,41,Albany,NY,44643 Lighthouse Bay Park
7,Fanya Martinie,Fanya,Martinie,46(483)528-9863,Ketty Pigeram,7(799)961-0453,1589725288,89,1589725377,45,Bronx,NY,62 Briar Crest Avenue
8,Stanton Olivey,Stanton,Olivey,62(168)265-5994,Sumner Meeking,86(207)364-5325,1598912664,86,1598912750,92,New York City,NY,74 Thackeray Junction
9,Ardisj Tort,Ardisj,Tort,7(275)584-5094,Garvey Grollmann,389(365)470-8680,1591557034,205,1591557239,125,Albany,NY,1376 Elgar Hill
10,Gallard Hammersley,Gallard,Hammersley,7(435)366-6812,Fletcher Hembling,380(851)916-8653,1580451873,194,1580452067,150,Jamaica,NY,74012 Emmet Avenue
11,Tobe Cassell,Tobe,Cassell,63(492)726-5044,Evvie Neeson,358(369)642-7988,1594879252,2,1594879254,9,Rochester,NY,42242 Bay Street
12,Skippie Swiffan,Skippie,Swiffan,1(904)558-5807,Sib Vink,880(348)172-4575,1592687508,263,1592687771,73,Jamaica,NY,3440 Michigan Hill
13,Kiri Martt,Kiri,Martt,86(270)349-8768,Corny Kohrt,86(743)737-7381,1578917247,242,1578917489,86,Brooklyn,NY,165 Maple Trail
14,Ivett Oughtright,Ivett,Oughtright,380(921)373-2877,Shani Vasyunin,81(273)325-7857,1589886038,169,1589886207,50,New York City,NY,8 Larry Drive
15,Stephan Body,Stephan,Body,678(741)861-3001,Natasha Dear,231(132)226-0537,1595543644,219,1595543863,78,Buffalo,NY,16 Spohn Point
16,Joann Aitchison,Joann,Aitchison,51(894)576-2441,Cyndie Astlett,86(371)777-3475,1578937601,220,1578937821,10,Bronx,NY,0374 Fairfield Street
17,Jaquelin Lackney,Jaquelin,Lackney,7(954)895-8067,Devondra Jopke,62(916)984-7113,1600405359,117,1600405476,76,Bronx,NY,0007 Hauk Lane
18,Mora Durtnell,Mora,Durtnell,351(635)482-3498,Riccardo Hellin,1(251)662-6361,1589469742,249,1589469991,74,Elmira,NY,64 Colorado Lane
19,Brandy Toomer,Brandy,Toomer,62(441)390-6391,Fidelity Hammill,380(486)299-6217,1592826310,271,1592826581,1,Brooklyn,NY,1494 Coolidge Plaza
20,Nedi Faragan,Nedi,Faragan,86(696)678-6830,Addia Goning,63(980)764-5212,1583902238,240,1583902478,133,Elmira,NY,154 Rigney Circle
21,Anette Kynvin,Anette,Kynvin,86(960)182-3403,Daniel Rolley,1(513)726-1651,1583476510,57,1583476567,131,Rochester,NY,4564 Birchwood Avenue
22,Denis Taberer,Denis,Taberer,86(904)525-5222,Jenda Gidley,33(163)804-8179,1590098330,264,1590098594,70,White Plains,NY,5641 South Park
